7448.14 11457.4 16789.6 23710.5 31961.2 41473.2 51807.9 62891.4 74446.5 85970 97300 108026 118363 128082 136908 145686 153541 160359 165449 168226 168054 164379 157451 147858 136518 124793 113575 103864 95589.6 89526.3 85413.1 82737.2 80555.1 79220.9 78180.2 77311.8 76557.8 75929.6 75521.8 75451.6 76036.3 77304.6 79234.7 81215.4 83315.6 85867.8 87853.5 89450.5 91062.5 92655.5 93990.8 95532.7 97118 98420.2 98945.8 98509.9 96778.6 93525.4 89216.7 84562.3 79662.1 75104.5 71382.9 68562.6 67093.6 66591.1 67399.6 68833.1 71004.9 72975.3 74099.2 74078.8 72486.2 69136.2 63890.9 57341.3 49851.9 42032 34456.1 27419.2 21198.5 15971.9 11677.7 8317.97 5720.18 0 
11258.2 17224.1 24999.1 34753.5 46414 59645.4 73968.8 89386.5 105393 121215 136439 151102 164676 177294 189110 199828 209627 218186 224387 227611 226876 222189 213179 200938 186457 171611 157327 144761 134373 126759 121003 117355 114515 112280 110464 109075 107549 106575 106053 106389 107328 109312 111413 114458 117503 120475 122739 124911 126603 128425 130143 132562 134446 136203 137123 136473 133961 129898 124437 118085 111501 105391 100249 96531.9 93995.7 93037.7 93533.6 94947.2 96885.9 98945.5 100076 99644 97184.4 92613.1 85786.5 77157.9 67427.1 57391.3 47448.3 38268.7 30075.2 23018 17202.2 12387.8 8668.67 0 
16376 24722.3 35452.8 48860 64655.4 82287.2 101555 121988 143027 163694 183650 201911 219133 234596 248851 261466 272930 282550 289758 292986 291751 285812 275094 260195 243053 224985 207716 192496 180138 170547 163721 158513 154839 151689 149115 146369 144579 143150 142712 143024 144757 147114 150495 154451 158062 161459 164120 166337 168476 170366 172544 175413 178289 180590 181697 181012 178262 172924 166288 158276 150205 142403 135958 130823 127228 125396 124935 125893 127339 128899 129454 128548 124934 118736 110118 99328.9 87350.8 74855.3 62567.6 51077.6 40631.9 31555 23952.8 17613.7 12445.5 0 
22714 33899.9 48245.2 65782.4 86172.7 109164 134023 159871 186415 212296 236510 259036 279121 297238 312956 326941 339271 349556 356913 360019 358268 351117 338690 322002 302335 281568 261747 244478 229920 218950 210742 204562 199588 195426 191771 188677 185940 184395 183765 184673 186882 190470 194929 199560 203770 207643 210400 212653 214631 216800 219540 222804 226300 229608 230933 230234 227262 221639 213415 204608 195241 186169 178153 171720 166820 163339 161560 161202 161870 162203 161591 159400 154478 146574 135979 123270 108783 93905.2 79311.4 65685.6 53050 41845.2 32119.5 24011.7 17252.2 0 
30243.8 44688 62867.6 85198.1 111061 139709 170508 202413 234292 265121 293724 319635 342320 361783 377980 392150 404221 414274 421136 423943 421504 413514 399862 381604 360082 338020 316305 297757 281601 269320 259870 252576 246827 241528 237103 233195 229740 228178 227759 229225 232402 237211 242486 248057 252774 256734 259313 261601 263272 265484 268295 272254 276307 280156 282494 282350 279187 273196 264970 255577 245642 235708 226703 218651 211924 206714 202574 200093 198468 196956 194657 190734 184062 174431 162005 147412 131123 114401 97549.1 81680.1 66999.2 53578 41733.8 31521.8 22992.1 0 
38705.6 56632.5 79426.5 106912 138332 172947 209898 247496 284845 320000 352272 380411 404400 423760 439651 452536 463315 471707 477486 479164 476646 468143 453858 434871 412992 390082 368186 348634 331980 318635 308489 300087 293391 286875 281576 276844 273579 271682 271977 274353 278984 284600 291298 297498 302751 306760 309139 310728 312080 314100 317150 321838 326279 330872 333985 334396 331870 326362 318597 309425 299525 289449 279838 270577 261772 253618 246660 241077 236365 232088 227299 221071 212395 201106 186980 170798 153038 134739 116535 98817.8 81951.7 66488.9 52405.2 40077 29472.2 0 
47939.6 69820.3 97185.9 130072 167290 207850 250715 293675 335493 374493 408925 438249 461623 480032 493754 504121 512442 518698 522602 523437 520012 511583 497828 479356 457794 435646 414024 394744 378234 364731 353630 344350 336211 328972 322728 317667 314269 313128 314032 317844 323520 330493 338082 345110 350974 354570 356479 357608 358374 360375 363344 368206 373597 379034 382939 384133 382673 378219 371657 363762 354906 345233 335402 324772 313742 302683 292029 282491 274113 266218 258519 249917 239009 226234 210804 193462 174732 155351 135692 116561 98028.2 80368.4 64093.9 49570.5 36738.8 0 
57521.1 83359.3 115524 153469 196405 242904 291049 338597 384230 425624 461023 490025 511813 527465 537703 544816 549588 552936 554746 554155 550670 542694 530017 513203 493239 472596 452148 434139 418114 404692 392920 382939 373885 365762 358861 353824 350652 350125 352134 357043 363904 372445 381079 388771 394596 398051 399504 399792 400175 401843 404886 410315 416290 422792 427460 429782 429757 427328 422374 416313 409219 400523 390481 378554 365101 350495 335884 322221 309540 298015 287036 275911 263615 249290 232992 215112 195698 175711 155155 134726 114477 94904.6 76325.7 59407.8 44505.9 0 
67047.1 96794.7 133303 176227 224338 275968 328699 380246 428543 471072 506463 533652 552566 564677 571095 573557 574710 574732 574475 572753 568992 561902 550915 536335 519222 501003 482653 466045 450918 437614 425793 414841 405151 395886 389088 383673 380965 381200 384548 390753 398990 408419 417749 425943 431876 435051 436019 435628 435589 437021 440466 446201 453155 460127 465830 469570 471376 470693 468319 464401 459177 451655 441748 428716 412713 394758 376072 358215 341614 326584 312891 299708 286038 270981 254284 236050 216632 196155 174904 153386 131527 109794 88979.7 69605.5 52331.7 0 
75755 108954 149507 196885 249398 305429 362020 416296 466142 508958 543187 567927 583661 591531 593519 591993 589203 586129 583531 580799 577089 571091 561928 550095 536003 520968 505227 490570 476571 463639 451426 439853 429332 419863 412324 407162 404847 406114 410372 417709 427225 437273 447167 455305 461019 463747 464332 463702 463460 464815 468686 475268 482525 490334 496999 502103 505327 506937 506816 505255 501949 495544 485877 471638 453550 432606 410818 389215 369162 351728 336118 321565 307250 291934 275413 257250 237740 217064 195018 172190 148713 125018 101648 79828 60139.5 0 
